	SRR13283663	SRR13283664	SRR13283665	SRR13394536	SRR13394540
SRR13283663	0.0	0.4787061994609164	0.3288409703504043	0.11105121293800539	0.997843665768194
SRR13283664	0.4787061994609164	0.0	0.47816711590296496	0.47816711590296496	0.9757412398921833
SRR13283665	0.3288409703504043	0.47816711590296496	0.0	0.3266846361185984	1.0
SRR13394536	0.11105121293800539	0.47816711590296496	0.3266846361185984	0.0	0.9628032345013477
SRR13394540	0.997843665768194	0.9757412398921833	1.0	0.9628032345013477	0.0
